Unnamed: 0,correct_keyboard_response_1,correct_response,flanker_condition,opensesame_codename,opensesame_version,response_keyboard_response_1,response_time_keyboard_response_1,subject_nr,target_type
0,1,M,3,Lentiform Loewenfeld,3.3.8,m,456.19189999997616,40,word
1,1,M,6,Lentiform Loewenfeld,3.3.8,m,392.5565999999817,40,word
2,1,C,3,Lentiform Loewenfeld,3.3.8,c,589.7667000000074,40,nonword
3,1,M,1,Lentiform Loewenfeld,3.3.8,m,462.13409999999567,40,word
4,1,C,5,Lentiform Loewenfeld,3.3.8,c,610.0370000000112,40,nonword
5,1,M,3,Lentiform Loewenfeld,3.3.8,m,511.8729999999923,40,word
6,1,C,3,Lentiform Loewenfeld,3.3.8,c,585.2661999999837,40,nonword
7,1,M,7,Lentiform Loewenfeld,3.3.8,m,554.9936999999918,40,word
8,1,C,7,Lentiform Loewenfeld,3.3.8,c,586.8188000000082,40,nonword
9,1,M,2,Lentiform Loewenfeld,3.3.8,m,470.40629999997327,40,word
10,0,C,7,Lentiform Loewenfeld,3.3.8,m,620.7776999999769,40,nonword
11,1,C,5,Lentiform Loewenfeld,3.3.8,c,688.0405000000028,40,nonword
12,0,C,6,Lentiform Loewenfeld,3.3.8,m,502.6890999999596,40,nonword
13,1,M,2,Lentiform Loewenfeld,3.3.8,m,689.5815000000002,40,word
14,1,M,4,Lentiform Loewenfeld,3.3.8,m,567.9345999999787,40,word
15,1,M,5,Lentiform Loewenfeld,3.3.8,m,526.7639000000199,40,word
16,1,M,1,Lentiform Loewenfeld,3.3.8,m,705.3165000000154,40,word
17,1,C,3,Lentiform Loewenfeld,3.3.8,c,705.8397000000405,40,nonword
18,0,C,4,Lentiform Loewenfeld,3.3.8,m,570.3497000000207,40,nonword
19,1,M,4,Lentiform Loewenfeld,3.3.8,m,517.7416000000085,40,word
20,1,M,7,Lentiform Loewenfeld,3.3.8,m,604.9612000000197,40,word
21,1,M,5,Lentiform Loewenfeld,3.3.8,m,448.0385000000242,40,word
22,0,C,3,Lentiform Loewenfeld,3.3.8,m,469.08150000002934,40,nonword
23,0,C,5,Lentiform Loewenfeld,3.3.8,m,776.7551000000385,40,nonword
24,0,M,2,Lentiform Loewenfeld,3.3.8,c,814.6172999999544,40,word
25,1,M,7,Lentiform Loewenfeld,3.3.8,m,650.7769999999728,40,word
26,0,C,3,Lentiform Loewenfeld,3.3.8,m,607.2884999999951,40,nonword
27,1,M,6,Lentiform Loewenfeld,3.3.8,m,447.9073999999673,40,word
28,1,C,3,Lentiform Loewenfeld,3.3.8,c,1275.9557000000204,40,nonword
29,0,C,6,Lentiform Loewenfeld,3.3.8,m,919.0034999999916,40,nonword
30,1,M,4,Lentiform Loewenfeld,3.3.8,m,518.4872999999498,40,word
31,1,C,1,Lentiform Loewenfeld,3.3.8,c,817.9075999999768,40,nonword
32,1,C,7,Lentiform Loewenfeld,3.3.8,c,891.7584999999963,40,nonword
33,0,C,6,Lentiform Loewenfeld,3.3.8,m,536.2662000000128,40,nonword
34,1,C,3,Lentiform Loewenfeld,3.3.8,c,764.6191999999864,40,nonword
35,1,M,2,Lentiform Loewenfeld,3.3.8,m,713.6731999999902,40,word
36,1,C,5,Lentiform Loewenfeld,3.3.8,c,669.2562999999791,40,nonword
37,1,C,6,Lentiform Loewenfeld,3.3.8,c,667.053899999999,40,nonword
38,1,C,4,Lentiform Loewenfeld,3.3.8,c,715.435999999987,40,nonword
39,1,C,3,Lentiform Loewenfeld,3.3.8,c,779.9003000000084,40,nonword
40,1,M,4,Lentiform Loewenfeld,3.3.8,m,583.2848999999987,40,word
41,1,M,5,Lentiform Loewenfeld,3.3.8,m,589.14929999999,40,word
42,1,C,6,Lentiform Loewenfeld,3.3.8,c,665.498499999987,40,nonword
43,1,C,6,Lentiform Loewenfeld,3.3.8,c,657.5395000000135,40,nonword
44,1,C,4,Lentiform Loewenfeld,3.3.8,c,738.7150000000256,40,nonword
45,0,M,7,Lentiform Loewenfeld,3.3.8,c,881.1197999999858,40,word
46,0,C,6,Lentiform Loewenfeld,3.3.8,m,1074.9502999999677,40,nonword
47,1,M,1,Lentiform Loewenfeld,3.3.8,m,560.0596000000078,40,word
48,0,C,7,Lentiform Loewenfeld,3.3.8,m,614.1341999999713,40,nonword
49,0,C,5,Lentiform Loewenfeld,3.3.8,m,846.1474999999919,40,nonword
50,1,M,4,Lentiform Loewenfeld,3.3.8,m,484.8646000000008,40,word
51,1,M,7,Lentiform Loewenfeld,3.3.8,m,460.9487000000372,40,word
52,1,C,5,Lentiform Loewenfeld,3.3.8,c,637.9803999999713,40,nonword
53,1,C,5,Lentiform Loewenfeld,3.3.8,c,700.9549000000115,40,nonword
54,1,M,2,Lentiform Loewenfeld,3.3.8,m,473.75580000001355,40,word
55,1,M,6,Lentiform Loewenfeld,3.3.8,m,880.6702999999688,40,word
56,1,C,2,Lentiform Loewenfeld,3.3.8,c,861.694300000032,40,nonword
57,1,M,7,Lentiform Loewenfeld,3.3.8,m,530.055400000012,40,word
