,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type
0,0,1,1,C,1,c,618,prap prap prap vous prap prap prap,6,nonword
1,1,1,1,M,3,m,422,kast roze kast roze kast kast kast,6,word
2,2,1,0,C,1,m,794,luva luva luva weik luva luva luva,6,nonword
3,3,1,1,M,5,m,739,wind wind wind taak taak wind wind,6,word
4,4,1,1,M,7,m,641,grof grof grof duim grof grof duim,6,word
5,5,1,1,M,3,m,903,wijs deal wijs deal wijs wijs wijs,6,word
6,6,1,1,M,7,m,564,vies vies vies nood vies vies nood,6,word
7,7,1,0,C,4,m,1101,kuim kuim helf helf kuim kuim kuim,6,nonword
8,8,1,1,M,6,m,504,staf staf staf klok staf klok staf,6,word
9,9,1,1,C,2,c,611,doro wink wink doro wink wink wink,6,nonword
10,10,1,1,C,1,c,717,wais wais wais voen wais wais wais,6,nonword
11,11,1,1,M,2,m,634,glad norm norm glad norm norm norm,6,word
12,12,1,1,C,6,c,614,drik drik drik onel drik onel drik,6,nonword
13,13,1,1,C,1,c,809,praf praf praf moek praf praf praf,6,nonword
14,14,1,1,C,7,c,622,muif muif muif sner muif muif sner,6,nonword
15,15,1,1,C,1,c,687,oyer oyer oyer spap oyer oyer oyer,6,nonword
16,16,1,1,M,3,m,755,haak uien haak uien haak haak haak,6,word
17,17,1,1,C,1,c,711,hoot hoot hoot feep hoot hoot hoot,6,nonword
18,18,1,1,C,4,c,747,baap baap cens cens baap baap baap,6,nonword
19,19,1,1,C,3,c,1010,zaat diel zaat diel zaat zaat zaat,6,nonword
20,20,1,1,M,1,m,679,ruik ruik ruik pols ruik ruik ruik,6,word
21,21,1,1,M,3,m,763,koud lief koud lief koud koud koud,6,word
22,22,1,1,C,6,c,572,hust hust hust dran hust dran hust,6,nonword
23,23,1,0,C,3,m,541,afes mong afes mong afes afes afes,6,nonword
24,24,1,1,C,7,c,578,kurt kurt kurt pode kurt kurt pode,6,nonword
25,25,1,1,M,5,m,702,borg borg borg tand tand borg borg,6,word
26,26,1,1,M,6,m,822,rijd rijd rijd tank rijd tank rijd,6,word
27,27,1,1,C,5,c,672,satt satt satt bown bown satt satt,6,nonword
28,28,1,1,C,3,c,678,meep saal meep saal meep meep meep,6,nonword
29,29,1,1,C,6,c,545,uist uist uist eben uist eben uist,6,nonword
30,30,1,1,C,5,c,609,biek biek biek stog stog biek biek,6,nonword
31,31,1,1,M,1,m,643,nauw nauw nauw pijp nauw nauw nauw,6,word
32,32,1,1,M,6,m,527,lach lach lach boog lach boog lach,6,word
33,33,1,1,M,6,m,845,gene gene gene lord gene lord gene,6,word
34,34,1,1,C,4,c,1009,dave dave tuim tuim dave dave dave,6,nonword
35,35,1,1,M,1,m,595,daad daad daad berg daad daad daad,6,word
36,36,1,1,C,4,c,559,saar saar mote mote saar saar saar,6,nonword
37,37,1,1,M,4,m,837,mijl mijl zoet zoet mijl mijl mijl,6,word
38,38,1,1,C,5,c,626,vlog vlog vlog esen esen vlog vlog,6,nonword
39,39,1,1,C,6,c,733,wras wras wras liem wras liem wras,6,nonword
40,40,1,1,M,2,m,664,zaak vrij vrij zaak vrij vrij vrij,6,word
41,41,1,1,C,3,c,524,ozis udep ozis udep ozis ozis ozis,6,nonword
42,42,1,1,M,3,m,773,leeg kost leeg kost leeg leeg leeg,6,word
43,43,1,0,M,1,c,801,jong jong jong mate jong jong jong,6,word
44,44,1,1,C,3,c,696,ereg fonk ereg fonk ereg ereg ereg,6,nonword
45,45,1,1,M,2,m,608,gang viel viel gang viel viel viel,6,word
46,46,1,1,C,5,c,567,taar taar taar ille ille taar taar,6,nonword
47,47,1,1,C,5,c,650,emer emer emer shap shap emer emer,6,nonword
48,48,1,1,C,3,c,537,tijn ceda tijn ceda tijn tijn tijn,6,nonword
49,49,1,1,M,6,m,575,koor koor koor bijt koor bijt koor,6,word
50,50,1,1,C,7,c,612,gich gich gich kert gich gich kert,6,nonword
51,51,1,0,M,4,c,940,joch joch leid leid joch joch joch,6,word
52,52,1,1,C,5,c,1002,brop brop brop keuk keuk brop brop,6,nonword
53,53,1,1,C,2,c,835,beng tisa tisa beng tisa tisa tisa,6,nonword
54,54,1,1,M,3,m,651,kilo vers kilo vers kilo kilo kilo,6,word
55,55,1,1,C,4,c,556,dach dach biee biee dach dach dach,6,nonword
56,56,1,1,C,3,c,561,hava eloe hava eloe hava hava hava,6,nonword
57,57,1,1,C,7,c,614,poor poor poor namu poor poor namu,6,nonword
58,58,1,1,M,3,m,643,rook wens rook wens rook rook rook,6,word
59,59,1,1,C,5,c,547,dast dast dast rome rome dast dast,6,nonword
60,60,1,1,C,7,c,755,zope zope zope hams zope zope hams,6,nonword
61,61,1,1,C,3,c,700,slif noud slif noud slif slif slif,6,nonword
62,62,1,1,M,5,m,526,volk volk volk raam raam volk volk,6,word
63,63,1,1,C,6,c,528,taap taap taap kied taap kied taap,6,nonword
64,64,1,1,C,4,c,597,lool lool tiek tiek lool lool lool,6,nonword
65,65,1,1,C,2,c,608,meis boal boal meis boal boal boal,6,nonword
66,66,1,1,M,1,m,694,bied bied bied loon bied bied bied,6,word
67,67,1,1,M,6,m,731,mouw mouw mouw race mouw race mouw,6,word
68,68,1,1,C,7,c,530,jijk jijk jijk enes jijk jijk enes,6,nonword
69,69,1,1,M,7,m,651,toon toon toon kalm toon toon kalm,6,word
70,70,1,1,C,3,c,511,polp inze polp inze polp polp polp,6,nonword
71,71,1,1,C,2,c,793,lots peun peun lots peun peun peun,6,nonword
72,72,1,1,C,3,c,817,kund stei kund stei kund kund kund,6,nonword
73,73,1,1,C,6,c,560,stor stor stor mein stor mein stor,6,nonword
74,74,1,1,M,4,m,593,rent rent cola cola rent rent rent,6,word
75,75,1,1,C,6,c,670,lals lals lals poek lals poek lals,6,nonword
76,76,1,1,M,5,m,575,laag laag laag dier dier laag laag,6,word
77,77,1,1,C,4,c,560,nouw nouw alde alde nouw nouw nouw,6,nonword
78,78,1,1,M,1,m,591,homo homo homo vals homo homo homo,6,word
79,79,1,1,C,5,c,546,jalf jalf jalf knet knet jalf jalf,6,nonword
80,80,1,1,C,7,c,714,icht icht icht vool icht icht vool,6,nonword
81,81,1,1,M,6,m,531,bond bond bond saai bond saai bond,6,word
82,82,1,1,M,5,m,695,eist eist eist gram gram eist eist,6,word
83,83,1,1,C,4,c,527,krad krad lote lote krad krad krad,6,nonword
84,84,1,1,M,2,m,525,reus wond wond reus wond wond wond,6,word
85,85,1,1,C,2,c,558,heut faai faai heut faai faai faai,6,nonword
86,86,1,1,C,6,c,525,fovo fovo fovo iest fovo iest fovo,6,nonword
87,87,1,0,C,2,m,1298,bees marg marg bees marg marg marg,6,nonword
88,88,1,1,C,1,c,572,baag baag baag hede baag baag baag,6,nonword
89,89,1,1,M,6,m,576,vlot vlot vlot eend vlot eend vlot,6,word
90,90,1,1,M,4,m,668,grot grot kale kale grot grot grot,6,word
91,91,1,1,C,6,c,554,rege rege rege nijt rege nijt rege,6,nonword
92,92,1,0,C,2,m,641,zaas tool tool zaas tool tool tool,6,nonword
93,93,1,1,C,3,c,516,sams elot sams elot sams sams sams,6,nonword
94,94,1,1,M,6,m,483,vlug vlug vlug adem vlug adem vlug,6,word
95,95,1,1,M,6,m,504,café café café huur café huur café,6,word
96,96,1,1,C,3,c,499,wors cini wors cini wors wors wors,6,nonword
97,97,1,1,C,3,c,608,reur vits reur vits reur reur reur,6,nonword
98,98,1,1,C,5,c,586,sopa sopa sopa drig drig sopa sopa,6,nonword
99,99,1,1,C,2,c,851,beem stot stot beem stot stot stot,6,nonword
100,100,1,1,C,2,c,513,frel noks noks frel noks noks noks,6,nonword
101,101,1,1,M,1,m,966,doof doof doof heil doof doof doof,6,word
102,102,1,1,M,2,m,745,munt wolf wolf munt wolf wolf wolf,6,word
103,103,1,1,M,3,m,548,paal oven paal oven paal paal paal,6,word
104,104,1,1,M,5,m,680,ruit ruit ruit coma coma ruit ruit,6,word
105,105,1,0,M,4,c,564,wint wint fase fase wint wint wint,6,word
106,106,1,1,M,7,m,503,ding ding ding wees ding ding wees,6,word
107,107,1,1,C,7,c,840,apos apos apos teet apos apos teet,6,nonword
108,108,1,1,M,3,m,602,pest blok pest blok pest pest pest,6,word
109,109,1,1,M,2,m,601,heel tijd tijd heel tijd tijd tijd,6,word
110,110,1,1,M,7,m,545,goud goud goud leer goud goud leer,6,word
111,111,1,1,M,6,m,520,trek trek trek gauw trek gauw trek,6,word
112,112,1,1,M,2,m,503,sexy truc truc sexy truc truc truc,6,word
113,113,1,1,C,5,c,666,patt patt patt geid geid patt patt,6,nonword
114,114,1,1,M,5,m,671,data data data ober ober data data,6,word
115,115,1,1,C,6,c,612,kour kour kour zwee kour zwee kour,6,nonword
116,116,1,1,C,1,c,545,naus naus naus tieg naus naus naus,6,nonword
117,117,1,1,M,2,m,655,soms heen heen soms heen heen heen,6,word
118,118,1,1,C,7,c,647,caks caks caks vieg caks caks vieg,6,nonword
119,119,1,1,M,4,m,556,trap trap hoek hoek trap trap trap,6,word
120,120,1,1,M,3,m,559,baas heer baas heer baas baas baas,6,word
121,121,1,0,C,1,m,798,tinx tinx tinx goef tinx tinx tinx,6,nonword
122,122,1,1,C,2,c,973,gonk uilt uilt gonk uilt uilt uilt,6,nonword
123,123,1,1,C,4,c,714,puks puks tace tace puks puks puks,6,nonword
124,124,1,1,C,2,c,644,ties grop grop ties grop grop grop,6,nonword
125,125,1,0,C,1,m,1094,unen unen unen vooi unen unen unen,6,nonword
126,126,1,1,C,4,c,744,wief wief muld muld wief wief wief,6,nonword
127,127,1,1,M,7,m,767,maal maal maal keus maal maal keus,6,word
128,128,1,1,C,6,c,623,voog voog voog nere voog nere voog,6,nonword
129,129,1,1,M,5,m,605,ford ford ford apen apen ford ford,6,word
130,130,1,1,C,6,c,537,coho coho coho kelg coho kelg coho,6,nonword
131,131,1,1,M,6,m,590,city city city poen city poen city,6,word
132,132,1,1,M,1,m,613,juli juli juli test juli juli juli,6,word
133,133,1,1,C,6,c,765,diet diet diet saks diet saks diet,6,nonword
134,134,1,1,C,1,c,771,aths aths aths woeg aths aths aths,6,nonword
135,135,1,1,M,6,m,645,band band band slim band slim band,6,word
136,136,1,1,C,3,c,558,duut opke duut opke duut duut duut,6,nonword
137,137,1,1,C,7,c,633,hols hols hols preu hols hols preu,6,nonword
138,138,1,1,C,3,c,566,zood peft zood peft zood zood zood,6,nonword
139,139,1,1,M,2,m,492,duur boom boom duur boom boom boom,6,word
140,140,1,1,C,2,c,508,olen wrag wrag olen wrag wrag wrag,6,nonword
141,141,1,1,M,1,m,775,ruwe ruwe ruwe poos ruwe ruwe ruwe,6,word
142,142,1,1,C,2,c,514,bome puis puis bome puis puis puis,6,nonword
143,143,1,1,M,7,m,684,slet slet slet mark slet slet mark,6,word
144,144,1,1,C,6,c,626,roup roup roup beel roup beel roup,6,nonword
145,145,1,1,C,5,c,607,daaf daaf daaf koem koem daaf daaf,6,nonword
146,146,1,1,M,1,m,567,nest nest nest lamp nest nest nest,6,word
147,147,1,1,M,4,m,553,arts arts melk melk arts arts arts,6,word
148,148,1,0,M,6,c,555,raar raar raar hing raar hing raar,6,word
149,149,1,1,M,4,m,630,ogen ogen wilt wilt ogen ogen ogen,6,word
150,150,1,1,C,3,c,553,spuk miot spuk miot spuk spuk spuk,6,nonword
151,151,1,1,M,2,m,617,haan romp romp haan romp romp romp,6,word
152,152,1,1,M,2,m,607,kust woon woon kust woon woon woon,6,word
153,153,1,1,M,5,m,667,gans gans gans klem klem gans gans,6,word
154,154,1,1,C,7,c,743,klof klof klof stum klof klof stum,6,nonword
155,155,1,1,C,5,c,804,snop snop snop reug reug snop snop,6,nonword
156,156,1,1,M,5,m,715,wild wild wild reet reet wild wild,6,word
157,157,1,1,M,4,m,589,punt punt orde orde punt punt punt,6,word
158,158,1,1,M,7,m,642,lijf lijf lijf mede lijf lijf mede,6,word
159,159,1,1,C,7,c,540,bool bool bool wert bool bool wert,6,nonword
160,160,1,1,C,7,c,601,wans wans wans vrie wans wans vrie,6,nonword
161,161,1,1,C,6,c,983,zoof zoof zoof daam zoof daam zoof,6,nonword
162,162,1,1,C,1,c,632,hege hege hege tolp hege hege hege,6,nonword
163,163,1,1,M,2,m,609,hart blij blij hart blij blij blij,6,word
164,164,1,1,C,1,c,677,dauk dauk dauk lors dauk dauk dauk,6,nonword
165,165,1,1,C,1,c,662,lolk lolk lolk vade lolk lolk lolk,6,nonword
166,166,1,1,M,5,m,734,boze boze boze wand wand boze boze,6,word
167,167,1,1,C,5,c,595,tans tans tans piem piem tans tans,6,nonword
168,168,1,1,M,4,m,744,jurk jurk moed moed jurk jurk jurk,6,word
169,169,1,1,C,7,c,705,medo medo medo pijt medo medo pijt,6,nonword
170,170,1,0,C,1,m,622,heid heid heid oost heid heid heid,6,nonword
171,171,1,1,C,2,c,591,keis palg palg keis palg palg palg,6,nonword
172,172,1,1,C,4,c,634,rolk rolk nist nist rolk rolk rolk,6,nonword
173,173,1,1,C,5,c,546,pori pori pori flet flet pori pori,6,nonword
174,174,1,1,M,1,m,613,pakt pakt pakt leef pakt pakt pakt,6,word
175,175,1,1,C,3,c,532,wats noeg wats noeg wats wats wats,6,nonword
176,176,1,1,M,3,m,583,gold heks gold heks gold gold gold,6,word
177,177,1,1,M,6,m,541,past past past volg past volg past,6,word
178,178,1,1,M,7,m,577,ezel ezel ezel muis ezel ezel muis,6,word
179,179,1,1,M,3,m,620,luid voer luid voer luid luid luid,6,word
180,180,1,0,C,5,m,624,muns muns muns tekt tekt muns muns,6,nonword
181,181,1,1,M,2,m,681,stof bier bier stof bier bier bier,6,word
182,182,1,1,C,6,c,645,doms doms doms vleg doms vleg doms,6,nonword
183,183,1,1,M,2,m,574,kent word word kent word word word,6,word
184,184,1,1,C,2,c,651,krif asho asho krif asho asho asho,6,nonword
185,185,1,1,M,5,m,611,name name name lift lift name name,6,word
186,186,1,1,M,3,m,632,been shit been shit been been been,6,word
187,187,1,0,M,3,c,732,spul hoed spul hoed spul spul spul,6,word
188,188,1,1,M,3,m,554,dook pech dook pech dook dook dook,6,word
189,189,1,1,M,5,m,519,dame dame dame lukt lukt dame dame,6,word
190,190,1,1,M,4,m,802,plus plus kern kern plus plus plus,6,word
191,191,1,1,C,7,c,582,hins hins hins poow hins hins poow,6,nonword
192,192,1,1,C,7,c,819,gint gint gint koed gint gint koed,6,nonword
193,193,1,1,C,4,c,831,gond gond sput sput gond gond gond,6,nonword
194,194,1,1,M,5,m,646,kamp kamp kamp olie olie kamp kamp,6,word
195,195,1,1,C,1,c,575,bust bust bust mave bust bust bust,6,nonword
196,196,1,1,C,2,c,543,igri koke koke igri koke koke koke,6,nonword
197,197,1,1,M,3,m,612,druk stem druk stem druk druk druk,6,word
198,198,1,1,M,5,m,1057,ziek ziek ziek houd houd ziek ziek,6,word
199,199,1,1,C,2,c,629,noet palf palf noet palf palf palf,6,nonword
