,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type,target
0,148,148,148,1,0,M,6,c,555,raar raar raar hing raar hing raar,6,word,hing
1,204,204,204,1,0,M,6,c,561,bood bood bood vage bood vage bood,6,word,vage
2,234,234,234,1,0,M,6,c,418,geld geld geld wist geld wist geld,6,word,wist
3,351,351,351,1,0,M,6,c,792,wolk wolk wolk vest wolk vest wolk,6,word,vest
4,417,417,417,1,0,M,5,c,524,eeuw eeuw eeuw stap stap eeuw eeuw,6,word,stap
5,105,105,105,1,0,M,4,c,564,wint wint fase fase wint wint wint,6,word,fase
6,288,288,288,1,0,M,4,c,568,slag slag doch doch slag slag slag,6,word,doch
7,324,324,324,1,0,M,4,c,599,trut trut dans dans trut trut trut,6,word,dans
8,356,356,356,1,0,M,4,c,562,klom klom tape tape klom klom klom,6,word,tape
9,187,187,187,1,0,M,3,c,732,spul hoed spul hoed spul spul spul,6,word,hoed
10,258,258,258,1,0,M,3,c,561,trof adel trof adel trof trof trof,6,word,adel
11,307,307,307,1,0,M,3,c,672,voet lijn voet lijn voet voet voet,6,word,lijn
12,329,329,329,1,0,M,2,c,546,aten zuur zuur aten zuur zuur zuur,6,word,aten
13,374,374,374,1,0,M,2,c,507,roem huil huil roem huil huil huil,6,word,roem
14,397,397,397,1,0,M,2,c,525,hief trad trad hief trad trad trad,6,word,hief
15,43,43,43,1,0,M,1,c,801,jong jong jong mate jong jong jong,6,word,mate
16,385,385,385,1,0,M,1,c,763,pret pret pret baai pret pret pret,6,word,baai
17,486,486,486,2,0,M,7,c,805,city city city poen city city poen,0,word,poen
18,584,584,584,2,0,M,7,c,383,pond pond pond vuil pond pond vuil,0,word,vuil
19,589,589,589,2,0,M,7,c,400,trek trek trek gauw trek trek gauw,0,word,gauw
20,663,663,663,2,0,M,7,c,501,dief dief dief klus dief dief klus,0,word,klus
21,678,678,678,2,0,M,7,c,696,gene gene gene lord gene gene lord,0,word,lord
22,686,686,686,2,0,M,7,c,874,redt redt redt knop redt redt knop,0,word,knop
23,698,698,698,2,0,M,7,c,616,raar raar raar hing raar raar hing,0,word,hing
24,774,774,774,2,0,M,7,c,859,touw touw touw brak touw touw brak,0,word,brak
25,837,837,837,2,0,M,7,c,457,mond mond mond stuk mond mond stuk,0,word,stuk
26,448,448,448,2,0,M,6,c,775,buik buik buik rand buik rand buik,0,word,rand
27,526,526,526,2,0,M,6,c,653,rock rock rock bijl rock bijl rock,0,word,bijl
28,539,539,539,2,0,M,6,c,671,koos koos koos rede koos rede koos,0,word,rede
29,613,613,613,2,0,M,6,c,550,dame dame dame lukt dame lukt dame,0,word,lukt
30,634,634,634,2,0,M,6,c,547,knul knul knul erom knul erom knul,0,word,erom
31,736,736,736,2,0,M,6,c,445,ford ford ford apen ford apen ford,0,word,apen
32,476,476,476,2,0,M,5,c,567,vele vele vele stop stop vele vele,0,word,stop
33,478,478,478,2,0,M,5,c,697,jurk jurk jurk moed moed jurk jurk,0,word,moed
34,585,585,585,2,0,M,5,c,479,wint wint wint fase fase wint wint,0,word,fase
35,596,596,596,2,0,M,5,c,374,arts arts arts melk melk arts arts,0,word,melk
36,680,680,680,2,0,M,5,c,650,trut trut trut dans dans trut trut,0,word,dans
37,711,711,711,2,0,M,5,c,571,grot grot grot kale kale grot grot,0,word,kale
38,827,827,827,2,0,M,5,c,339,mits mits mits doek doek mits mits,0,word,doek
39,537,537,537,2,0,M,4,c,595,spul spul hoed hoed spul spul spul,0,word,hoed
40,590,590,590,2,0,M,4,c,414,been been shit shit been been been,0,word,shit
41,597,597,597,2,0,M,4,c,392,dook dook pech pech dook dook dook,0,word,pech
42,604,604,604,2,0,M,4,c,598,maan maan reed reed maan maan maan,0,word,reed
43,605,605,605,2,0,M,4,c,738,trof trof adel adel trof trof trof,0,word,adel
44,624,624,624,2,0,M,4,c,500,voet voet lijn lijn voet voet voet,0,word,lijn
45,716,716,716,2,0,M,4,c,643,kast kast roze roze kast kast kast,0,word,roze
46,723,723,723,2,0,M,4,c,630,rook rook wens wens rook rook rook,0,word,wens
47,745,745,745,2,0,M,4,c,463,slot slot uren uren slot slot slot,0,word,uren
48,796,796,796,2,0,M,4,c,701,gold gold heks heks gold gold gold,0,word,heks
49,548,548,548,2,0,M,3,c,843,zorg stel zorg stel zorg zorg zorg,0,word,stel
50,566,566,566,2,0,M,3,c,440,hulp neer hulp neer hulp hulp hulp,0,word,neer
51,623,623,623,2,0,M,3,c,462,norm glad norm glad norm norm norm,0,word,glad
52,670,670,670,2,0,M,3,c,590,huil roem huil roem huil huil huil,0,word,roem
53,696,696,696,2,0,M,3,c,468,trad hief trad hief trad trad trad,0,word,hief
54,707,707,707,2,0,M,3,c,437,vrij zaak vrij zaak vrij vrij vrij,0,word,zaak
55,715,715,715,2,0,M,3,c,412,zuur aten zuur aten zuur zuur zuur,0,word,aten
56,738,738,738,2,0,M,3,c,473,rood tuin rood tuin rood rood rood,0,word,tuin
