,Unnamed: 0.1,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type,target
0,4,4,1,1,M,7,m,641,grof grof grof duim grof grof duim,6,word,duim
1,6,6,1,1,M,7,m,564,vies vies vies nood vies vies nood,6,word,nood
2,69,69,1,1,M,7,m,651,toon toon toon kalm toon toon kalm,6,word,kalm
3,106,106,1,1,M,7,m,503,ding ding ding wees ding ding wees,6,word,wees
4,110,110,1,1,M,7,m,545,goud goud goud leer goud goud leer,6,word,leer
5,127,127,1,1,M,7,m,767,maal maal maal keus maal maal keus,6,word,keus
6,143,143,1,1,M,7,m,684,slet slet slet mark slet slet mark,6,word,mark
7,158,158,1,1,M,7,m,642,lijf lijf lijf mede lijf lijf mede,6,word,mede
8,178,178,1,1,M,7,m,577,ezel ezel ezel muis ezel ezel muis,6,word,muis
9,206,206,1,1,M,7,m,510,kwam kwam kwam dood kwam kwam dood,6,word,dood
10,223,223,1,1,M,7,m,774,fort fort fort high fort fort high,6,word,high
11,235,235,1,1,M,7,m,493,voeg voeg voeg pijl voeg voeg pijl,6,word,pijl
12,245,245,1,1,M,7,m,483,zaal zaal zaal bron zaal zaal bron,6,word,bron
13,249,249,1,1,M,7,m,723,foto foto foto ware foto foto ware,6,word,ware
14,255,255,1,1,M,7,m,583,baby baby baby loop baby baby loop,6,word,loop
15,278,278,1,1,M,7,m,494,rest rest rest plan rest rest plan,6,word,plan
16,287,287,1,1,M,7,m,750,muur muur muur ziel muur muur ziel,6,word,ziel
17,292,292,1,1,M,7,m,545,maak maak maak oude maak maak oude,6,word,oude
18,309,309,1,1,M,7,m,521,vaak vaak vaak zeer vaak vaak zeer,6,word,zeer
19,316,316,1,1,M,7,m,529,ouwe ouwe ouwe lijk ouwe ouwe lijk,6,word,lijk
20,326,326,1,1,M,7,m,664,zout zout zout grap zout zout grap,6,word,grap
21,332,332,1,1,M,7,m,589,riks riks riks blad riks riks blad,6,word,blad
22,337,337,1,1,M,7,m,751,hang hang hang dure hang hang dure,6,word,dure
23,355,355,1,1,M,7,m,498,hoor hoor hoor eten hoor hoor eten,6,word,eten
24,377,377,1,1,M,7,m,547,gast gast gast held gast gast held,6,word,held
25,379,379,1,1,M,7,m,588,riep riep riep hoog riep riep hoog,6,word,hoog
26,382,382,1,1,M,7,m,497,baan baan baan kort baan baan kort,6,word,kort
27,391,391,1,1,M,7,m,590,boot boot boot enig boot boot enig,6,word,enig
28,395,395,1,1,M,7,m,541,chef chef chef klap chef chef klap,6,word,klap
29,396,396,1,1,M,7,m,494,wijn wijn wijn vuur wijn wijn vuur,6,word,vuur
30,8,8,1,1,M,6,m,504,staf staf staf klok staf klok staf,6,word,klok
31,32,32,1,1,M,6,m,527,lach lach lach boog lach boog lach,6,word,boog
32,49,49,1,1,M,6,m,575,koor koor koor bijt koor bijt koor,6,word,bijt
33,67,67,1,1,M,6,m,731,mouw mouw mouw race mouw race mouw,6,word,race
34,81,81,1,1,M,6,m,531,bond bond bond saai bond saai bond,6,word,saai
35,89,89,1,1,M,6,m,576,vlot vlot vlot eend vlot eend vlot,6,word,eend
36,94,94,1,1,M,6,m,483,vlug vlug vlug adem vlug adem vlug,6,word,adem
37,95,95,1,1,M,6,m,504,café café café huur café huur café,6,word,huur
38,111,111,1,1,M,6,m,520,trek trek trek gauw trek gauw trek,6,word,gauw
39,131,131,1,1,M,6,m,590,city city city poen city poen city,6,word,poen
40,135,135,1,1,M,6,m,645,band band band slim band slim band,6,word,slim
41,177,177,1,1,M,6,m,541,past past past volg past volg past,6,word,volg
42,215,215,1,1,M,6,m,566,dief dief dief klus dief klus dief,6,word,klus
43,253,253,1,1,M,6,m,556,plat plat plat kies plat kies plat,6,word,kies
44,266,266,1,1,M,6,m,497,mond mond mond stuk mond stuk mond,6,word,stuk
45,267,267,1,1,M,6,m,485,meen meen meen aard meen aard meen,6,word,aard
46,296,296,1,1,M,6,m,521,dode dode dode ruim dode ruim dode,6,word,ruim
47,297,297,1,1,M,6,m,466,boos boos boos arme boos arme boos,6,word,arme
48,308,308,1,1,M,6,m,555,keel keel keel tong keel tong keel,6,word,tong
49,318,318,1,1,M,6,m,522,redt redt redt knop redt knop redt,6,word,knop
50,338,338,1,1,M,6,m,510,blik blik blik rode blik rode blik,6,word,rode
51,343,343,1,1,M,6,m,618,pers pers pers zand pers zand pers,6,word,zand
52,363,363,1,1,M,6,m,635,touw touw touw brak touw brak touw,6,word,brak
53,398,398,1,1,M,6,m,467,pond pond pond vuil pond vuil pond,6,word,vuil
54,3,3,1,1,M,5,m,739,wind wind wind taak taak wind wind,6,word,taak
55,25,25,1,1,M,5,m,702,borg borg borg tand tand borg borg,6,word,tand
56,62,62,1,1,M,5,m,526,volk volk volk raam raam volk volk,6,word,raam
57,76,76,1,1,M,5,m,575,laag laag laag dier dier laag laag,6,word,dier
58,82,82,1,1,M,5,m,695,eist eist eist gram gram eist eist,6,word,gram
59,104,104,1,1,M,5,m,680,ruit ruit ruit coma coma ruit ruit,6,word,coma
60,114,114,1,1,M,5,m,671,data data data ober ober data data,6,word,ober
61,129,129,1,1,M,5,m,605,ford ford ford apen apen ford ford,6,word,apen
62,153,153,1,1,M,5,m,667,gans gans gans klem klem gans gans,6,word,klem
63,156,156,1,1,M,5,m,715,wild wild wild reet reet wild wild,6,word,reet
64,166,166,1,1,M,5,m,734,boze boze boze wand wand boze boze,6,word,wand
65,185,185,1,1,M,5,m,611,name name name lift lift name name,6,word,lift
66,189,189,1,1,M,5,m,519,dame dame dame lukt lukt dame dame,6,word,lukt
67,194,194,1,1,M,5,m,646,kamp kamp kamp olie olie kamp kamp,6,word,olie
68,216,216,1,1,M,5,m,689,taxi taxi taxi lege lege taxi taxi,6,word,lege
69,239,239,1,1,M,5,m,523,lied lied lied post post lied lied,6,word,post
70,256,256,1,1,M,5,m,562,rock rock rock bijl bijl rock rock,6,word,bijl
71,261,261,1,1,M,5,m,851,maat maat maat oren oren maat maat,6,word,oren
72,281,281,1,1,M,5,m,601,rijp rijp rijp knal knal rijp rijp,6,word,knal
73,333,333,1,1,M,5,m,966,koos koos koos rede rede koos koos,6,word,rede
74,334,334,1,1,M,5,m,956,knul knul knul erom erom knul knul,6,word,erom
75,353,353,1,1,M,5,m,506,gaaf gaaf gaaf cent cent gaaf gaaf,6,word,cent
76,359,359,1,1,M,5,m,585,knap knap knap heus heus knap knap,6,word,heus
77,367,367,1,1,M,5,m,607,zelf zelf zelf want want zelf zelf,6,word,want
78,368,368,1,1,M,5,m,475,neen neen neen bril bril neen neen,6,word,bril
79,370,370,1,1,M,5,m,574,durf durf durf lage lage durf durf,6,word,lage
80,378,378,1,1,M,5,m,524,enge enge enge tram tram enge enge,6,word,tram
81,399,399,1,1,M,5,m,694,buik buik buik rand rand buik buik,6,word,rand
82,37,37,1,1,M,4,m,837,mijl mijl zoet zoet mijl mijl mijl,6,word,zoet
83,74,74,1,1,M,4,m,593,rent rent cola cola rent rent rent,6,word,cola
84,90,90,1,1,M,4,m,668,grot grot kale kale grot grot grot,6,word,kale
85,119,119,1,1,M,4,m,556,trap trap hoek hoek trap trap trap,6,word,hoek
86,147,147,1,1,M,4,m,553,arts arts melk melk arts arts arts,6,word,melk
87,149,149,1,1,M,4,m,630,ogen ogen wilt wilt ogen ogen ogen,6,word,wilt
88,157,157,1,1,M,4,m,589,punt punt orde orde punt punt punt,6,word,orde
89,168,168,1,1,M,4,m,744,jurk jurk moed moed jurk jurk jurk,6,word,moed
90,190,190,1,1,M,4,m,802,plus plus kern kern plus plus plus,6,word,kern
91,221,221,1,1,M,4,m,517,huid huid stom stom huid huid huid,6,word,stom
92,230,230,1,1,M,4,m,580,rang rang koel koel rang rang rang,6,word,koel
93,243,243,1,1,M,4,m,470,luik luik zoen zoen luik luik luik,6,word,zoen
